Date,Open,High,Low,Close,Volume,Adj Close
10/18/2006,357,359.9,340,347,1400,84.33
10/17/2006,360,363.9,356,358.4,1200,87.1
10/16/2006,363.5,369.95,362,368.85,23900,89.64
10/13/2006,370,371.5,359.05,360.1,3900,87.513
10/12/2006,354,365,354,360.75,2700,87.671
10/11/2006,342,379,342,349.2,9600,84.864
10/10/2006,392,392,374,374.2,3200,90.94
10/9/2006,398,398,368,380,7100,92.349
10/6/2006,392,393.9,375.6,375.6,7200,91.28
10/5/2006,393.75,397,387.7,389.1,18300,94.561
10/4/2006,392.2,400,382.45,386.35,14400,93.893
10/3/2006,407,411.8,386.25,391.05,54400,95.035
9/29/2006,355,384.5,350,374.4,21500,90.988
9/28/2006,329.65,354.9,329.65,354.9,3500,86.249
9/27/2006,321,332,320,322.55,7300,78.388
9/26/2006,334.75,334.75,321.5,325,1800,78.983
9/25/2006,320,336,318,329.85,2600,80.162
9/22/2006,317.2,324.75,315,317,1900,77.039
9/21/2006,325,328.95,325,328.9,900,79.931
9/20/2006,326.95,327,316.1,325,3100,78.983
9/19/2006,345,348,320,324.35,5200,78.825
9/18/2006,325,342.15,325,337.95,16700,82.13
9/15/2006,315,315,310,310,2500,75.338
9/14/2006,313,315,308.05,311,1700,75.581
9/13/2006,314,318,306.3,310.1,8100,75.362
9/12/2006,309.5,313,309.5,312.6,800,75.969
9/11/2006,319.6,319.7,311.1,312.55,5300,75.957
9/8/2006,310,319.45,305.8,312.95,2800,76.055
9/7/2006,318,320,300,303,14100,73.636
9/6/2006,325,328.85,307.05,315.2,4500,76.601
9/5/2006,314.85,331,314.85,330,1200,80.198
9/4/2006,325,328,315.05,327.7,1600,79.639
9/1/2006,319,324,319,324,2900,78.74
8/31/2006,328.9,329,315,325,2000,78.983
8/30/2006,350,351,320,325,1500,78.983
8/29/2006,319,327,316.9,324.25,2000,78.801
8/28/2006,321.15,321.15,309.05,314.15,2900,76.346
8/25/2006,330,330,313.05,322,1800,78.254
8/24/2006,311,326,311,315.85,1100,76.759
8/23/2006,338,338,320,321.05,1200,78.023
8/22/2006,327.05,337.2,327.05,329,1300,79.955
8/21/2006,329,332,322,331,1700,80.441
8/18/2006,325,333,325,327,1200,79.469
8/17/2006,336,340,325,326,6300,79.226
8/16/2006,337,355,315,344,12200,83.6
8/14/2006,328,333.9,325.1,329.7,2300,80.125
8/11/2006,320,343.5,320,321.35,12500,78.096
8/10/2006,306,320,306,311.15,500,75.617
8/9/2006,302.5,306,300.95,305.8,700,74.317
8/8/2006,299.85,302.95,293.8,296.1,900,71.96
8/7/2006,304.9,306,301,301,300,73.15
8/4/2006,306,306,300,300,900,72.907
8/3/2006,300,305,299.95,303.85,2700,73.843
8/2/2006,307.75,307.75,295.2,300.05,300,72.92
8/1/2006,301,303,298.5,300,500,72.907
7/31/2006,305,310.75,300,300,5800,72.907
7/28/2006,300,305,297.5,305,200,74.122
7/27/2006,304.9,304.9,300,300.9,1100,73.126
7/26/2006,305,306.95,300.05,300.05,0,72.92
7/25/2006,300,306.9,300,300,100,72.907
7/24/2006,296,301,295,301,2000,73.15
7/21/2006,301,303,296.5,303,1800,73.636
7/20/2006,301,301,294.95,300,1600,72.907
7/19/2006,305.3,305.35,294.55,294.55,4600,71.583
7/18/2006,308,310.5,303,310,2900,75.338
7/17/2006,315,315,310.05,311,600,75.581
